Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt1068680,3,2009-12-17,Yes Man,https://www.imdb.com/title/tt1068680/,movie,6.8,104,2008,"Comedy, Romance",324290,2008-12-09,Peyton Reed
tt1069238,7,2009-04-13,Okuribito,https://www.imdb.com/title/tt1069238/,movie,8.1,130,2008,"Drama, Music",46781,2008-08-23,Yôjirô Takita
tt0106950,3,2013-09-30,Fortress,https://www.imdb.com/title/tt0106950/,movie,5.9,95,1992,"Action, Crime, Sci-Fi, Thriller",26759,1992-12-18,Stuart Gordon
tt0107048,6,2000-06-18,Groundhog Day,https://www.imdb.com/title/tt0107048/,movie,8.0,101,1993,"Comedy, Fantasy, Romance",561498,1993-02-04,Harold Ramis
tt0107290,4,2001-04-18,Jurassic Park,https://www.imdb.com/title/tt0107290/,movie,8.1,127,1993,"Action, Adventure, Sci-Fi, Thriller",825488,1993-06-09,Steven Spielberg
tt0107315,5,2001-05-10,Kika,https://www.imdb.com/title/tt0107315/,movie,6.5,114,1993,Comedy,11831,1993-10-29,Pedro Almodóvar
tt1073498,1,2011-08-07,Meet the Spartans,https://www.imdb.com/title/tt1073498/,movie,2.8,86,2008,Comedy,99678,2008-01-24,"Jason Friedberg, Aaron Seltzer"
tt0107362,8,2001-06-11,Last Action Hero,https://www.imdb.com/title/tt0107362/,movie,6.4,130,1993,"Action, Adventure, Comedy, Fantasy",131590,1993-06-13,John McTiernan
tt1074638,5,2012-11-12,Skyfall,https://www.imdb.com/title/tt1074638/,movie,7.7,143,2012,"Action, Adventure, Thriller",613259,2012-10-23,Sam Mendes
tt0107473,8,2000-09-30,Mad Dog and Glory,https://www.imdb.com/title/tt0107473/,movie,6.2,97,1993,"Comedy, Crime, Drama, Romance",19866,1993-03-01,John McNaughton
tt0107617,7,2004-07-18,Mùi du du xanh,https://www.imdb.com/title/tt0107617/,movie,7.3,104,1993,"Drama, Music, Romance",7508,1993-05-31,Anh Hung Tran
tt0107652,5,2006-09-09,La naissance de l'amour,https://www.imdb.com/title/tt0107652/,movie,6.9,94,1993,Drama,409,1993-09-01,Philippe Garrel
tt0107692,7,2001-08-12,Jûbê ninpûchô,https://www.imdb.com/title/tt0107692/,movie,7.9,94,1993,"Animation, Action, Adventure, Fantasy, Thriller",33163,1993-06-05,Yoshiaki Kawajiri
tt0107808,9,2001-04-08,A Perfect World,https://www.imdb.com/title/tt0107808/,movie,7.6,138,1993,"Crime, Drama, Thriller",70899,1993-11-24,Clint Eastwood
tt0107822,3,2001-12-03,The Piano,https://www.imdb.com/title/tt0107822/,movie,7.6,121,1993,"Drama, Music, Romance",76092,1993-05-15,Jane Campion
tt1078294,7,2009-01-12,The Shock Doctrine,https://www.imdb.com/title/tt1078294/,short,7.7,6,2007,"Documentary, Animation, Short",811,2007-09-07,Jonás Cuarón
tt0108052,4,2012-05-06,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1159446,1993-11-30,Steven Spielberg
tt0108122,5,2001-06-19,Short Cuts,https://www.imdb.com/title/tt0108122/,movie,7.7,188,1993,"Comedy, Drama",40961,1993-09-04,Robert Altman
tt0108149,7,2005-11-07,Six Degrees of Separation,https://www.imdb.com/title/tt0108149/,movie,6.8,112,1993,"Comedy, Drama, Mystery",19194,1993-12-08,Fred Schepisi
tt0108188,9,2001-11-08,Sonatine,https://www.imdb.com/title/tt0108188/,movie,7.5,94,1993,"Action, Comedy, Crime, Drama, Romance, Thriller",16781,1993-05-15,Takeshi Kitano
tt0108394,7,2011-10-30,Trois couleurs: Bleu,https://www.imdb.com/title/tt0108394/,movie,7.9,94,1993,"Drama, Music, Mystery, Romance",83510,1993-09-03,Krzysztof Kieslowski
tt0108399,4,2004-12-20,True Romance,https://www.imdb.com/title/tt0108399/,movie,7.9,119,1993,"Crime, Drama, Romance, Thriller",198323,1993-09-08,Tony Scott
tt0108485,8,2001-05-14,Vibroboy,https://www.imdb.com/title/tt0108485/,short,6.4,28,1994,"Short, Comedy, Horror",457,1994-10-05,Jan Kounen
tt0109040,7,2004-02-01,Ace Ventura: Pet Detective,https://www.imdb.com/title/tt0109040/,movie,6.9,86,1994,Comedy,267136,1994-02-04,Tom Shadyac
tt0109382,8,2003-02-08,Caro diario,https://www.imdb.com/title/tt0109382/,movie,7.3,100,1993,"Biography, Comedy, Drama",6770,1993-11-12,Nanni Moretti
tt1093824,8,2014-11-30,Encounters at the End of the World,https://www.imdb.com/title/tt1093824/,movie,7.7,99,2007,Documentary,16682,2007-09-01,Werner Herzog
tt0109424,9,2000-09-22,Chung Hing sam lam,https://www.imdb.com/title/tt0109424/,movie,8.1,102,1994,"Comedy, Crime, Drama, Mystery, Romance",57675,1994-07-14,Kar-Wai Wong
tt1094249,7,2008-01-25,Hotel Chevalier,https://www.imdb.com/title/tt1094249/,short,7.3,13,2007,"Short, Drama, Romance",29763,2007-09-03,Wes Anderson
tt0109440,7,2003-08-12,La cité de la peur,https://www.imdb.com/title/tt0109440/,movie,7.7,93,1994,Comedy,7948,1994-03-09,Alain Berbérian
tt0109444,7,2000-10-23,Clear and Present Danger,https://www.imdb.com/title/tt0109444/,movie,6.9,141,1994,"Action, Crime, Drama, Thriller",85839,1994-08-03,Phillip Noyce
tt1095217,8,2010-05-29,The Bad Lieutenant: Port of Call - New Orleans,https://www.imdb.com/title/tt1095217/,movie,6.6,122,2009,"Crime, Drama",72630,2009-09-04,Werner Herzog
tt0109553,7,2000-08-05,Dâkusaido burûsu,https://www.imdb.com/title/tt0109553/,movie,5.3,83,1994,"Animation, Horror, Mystery, Sci-Fi",459,1994-10-08,Nobuyasu Furukawa
tt0109579,6,2001-09-18,Death and the Maiden,https://www.imdb.com/title/tt0109579/,movie,7.3,103,1994,"Drama, Mystery, Thriller",21569,1994-12-23,Roman Polanski
tt0109686,8,2001-04-12,Dumb and Dumber,https://www.imdb.com/title/tt0109686/,movie,7.3,107,1994,Comedy,342300,1994-12-06,"Bobby Farrelly, Peter Farrelly"
tt1097267,7,2008-04-13,Tirador,https://www.imdb.com/title/tt1097267/,movie,6.7,86,2007,"Crime, Drama",209,2007-09-07,Brillante Mendoza
tt0109731,7,2009-12-26,L'enfer,https://www.imdb.com/title/tt0109731/,movie,7.1,102,1994,"Crime, Drama, Thriller",3961,1994-02-16,Claude Chabrol
